con_ru,con_id
Солнечно,☀
Ясно,☀
Переменная облачность,🌤
Облачно,☁
Пасмурно,☁
Дымка,🌫
Местами дождь,🌧
Местами снег,🌨
Местами дождь со снегом,🌧🌨
Местами замерзающая морось,🌨
Местами грозы,🌩
Поземок,❄
Метель,🌫❄
Туман,🌫
Переохлажденный туман,🌫❄
Слабая морось,🌧
Замерзающая морось,🌧
Сильная замерзающая морось,🌧❄
Местами небольшой дождь,🌧
Небольшой дождь,🌧
Временами умеренный дождь,🌧
Умеренный дождь,🌧
Временами сильный дождь,🌧
Сильный дождь,🌧
Слабый переохлажденный дождь,🌧❄
Умеренный или сильный переохлажденный дождь,🌧❄
Небольшой дождь со снегом,🌧🌨
Умеренный или сильный дождь со снегом,🌧🌨
Местами небольшой снег,🌨
Небольшой снег,🌨
Местами умеренный снег,🌨
Умеренный снег,🌨
Местами сильный снег,🌨
Сильный снег,🌨
Ледяной дождь,🌨❄
Небольшой ливневый дождь,🌨
Умеренный или сильный ливневый дождь,🌨
Сильные ливни,🌨
Небольшой ливневый дождь со снегом,🌨🌨
Умеренные или сильные ливневые дожди со снегом,🌨🌨
Небольшой снег,🌨
Умеренный или сильный снег,🌨
Небольшой ледяной дождь,🌨❄
Умеренный или сильный ледяной дождь,🌨❄
В отдельных районах местами небольшой дождь с грозой,🌨🌩
В отдельных районах умеренный или сильный дождь с грозой,🌨🌩
В отдельных районах местами небольшой снег с грозой,🌨🌩
В отдельных районах умеренный или сильный снег с грозой,🌨🌩
